;;Définition;Formule de Calcul;;
Indicateurs liés aux volumes;;;;;
   MARKET%SHARE VOL;;Pour un produit donné dans une catégorie donnée, c'est la part du produit en volume vendu par lesPDVs par rapport à tous les autres de la même catégorie (en pourcentage);Somme des volumes vendu du produit,marque,…/Volume total vendu dans la catégorie;;
   VOLUME EN HECTOLITRE;;;Somme des volumes vendu dans tous les PDVs en hectolitre par produit/marque/entreprise;;
   SHARE IN SHOP HANDLING %;;C'est la part de marché d'un produit dans une catégorie, dans les points de vente qui commercialisent les produits de la catégorie;Somme des volumes du produit / somme des volumes de la catégorie dans les pdv où le produit a été vendu ;PDM/WD;
   MARKET%SHARE VAL;;Pour un produit donné dans une catégorie donnée, c'est la part du produit en valeur vendu par lesPDVs par rapport à tous les autres de la même catégorie (en pourcentage);Somme des volumes vendu en valeur monetaire du produit,marque,…/Volume total vendu en valeur monetaire dans la catégorie;;
   VALEUR EN UNITÉ MONETAIRE;;C'est la valeur monetaire du volume vendu pour chaque produit/marque/entreprise (en unité monetaire);Somme des valeurs monetaires des volumes vendus dans tous les PDVs en hectolitre par produit, marque, entreprise;;
   PURCHASES%SHARES VOL;;Pour un produit donné dans une catégorie donnée, c'est la part du produit en volume acheté par lesPDVs par rapport à tous les autres de la même catégorie (en pourcentage);Somme des volumes acheté du produit,marque,…/Volume total acheté dans la catégorie;;
   STOCK%SHARE;;Pour un produit donné dans une catégorie donnée, c'est la part des stocks en volume présent dans les PDVs par rapport à tous les autres de la même catégorie (en pourcentage);Somme des volumes en stock du produit,marque,…/Volume total en stock dans la catégorie;;
   FOWARD STOCK%SHARE;;Pour un produit donné dans une catégorie donnée, c'est la part des stocks 1 en volume présent dans les PDVs par rapport à tous les autres de la même catégorie (en pourcentage);Somme des volumes en stock 1 du produit,marque,…/Volume total en stock 1 dans la catégorie;;
Prix;;;;;
   AVERAGE PRICE;;Prix moyen d'un produit/marque/entreprise (en unité monetaire);Moyenne(prix observés dans tous les PDVs du panel d'un produit/marque/...);;
Indicateurs liés à la distribution;;;;;
   NUMERIC DISTRIBUTION%;;Pour un produit, marque,…, dans une catégorie, c'est le ration de présence dans l'ensemble des PDVs du panel (en pourcentage);Nombre de PDVs qui commercialisent le produit, marque, entreprise / Nombre de PDVs du panel.;;
   NUMERIC DISTRIBUTION IN SHOP HANDLING THE CATEGORY %;;Même chose que la distribution numérique à la différence qu'on se restreint au PDVs du panel qui commercialisent la catégorie donnée.;Nombre de PDVs où le produit est disponible / Nombre de PDVs où au moins un produit de la catégorie est disponible.; ND produit / ND catégorie;
   WEIGTHED DISTRIBUTION%;;Ceci est similaire à la distribution numérique à la différence qu'il considère plutôt le poids en volume des PDVs dans lequel le produit/marque est présent;Somme des volumes de la catégorie dans les pdvs où le produit est disponible / somme des volumes total de la catégorie sur le marché;;
   DISTRIBUTION EFFICIENCY;;C'est le ratio entre la Weigthed distribution et la numeric distribution (c'est un indicateur relatif donc il se compare entre les mois);WEIGTHED DISTRIBUTION /NUMERIC DISTRIBUTION;;
Indicateurs liés aux stocks;;;;;
   NUMERIC%OOS;;Pour un produit, marque,…, dans une catégorie, c'est le ration de rupture de stock dans l'ensemble des PDVs du panel (en pourcentage);Nombre de PDVs dans lequel il y a eu rupture de stock dans le mois au moment de passage de l'auditeur sur le produit,marque, entreprise / Nombre de PDVs du panel.;;
   WEIGTHED OOS%;;Ceci est similaire à laNumeric OOS à la différence que qu'il considère plutôt le poids en volume des PDVs dans lequel le produit/marque est en rupture de stock (en pourcentage);Somme des volumes de la catégorie du produit dans les pdvs où le produit est en rupture de stock / volumes total de la catégorie sur le marché;;
   STOCK COVER DAY;;C'est un indicateur qui permet d'estimer le nombre moyen de jour que le stock disponible peut couvrir étant donné la dynamique des ventes dans les PDVs du panel.;stock en volume / (Volumes des ventes / 30,5);;
;;;;;
